_id,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos
850,86,27,17,5,283,familiar,2,nao,solteiro,baixo,6,20
851,79,30,31,5,205,familiar,4,sim,divorciado,médio,2,6
852,5,63,1,8,239,familiar,2,sim,casado,médio,3,9
853,65,2,9,0,253,familiar,7,sim,divorciado,alto,9,4
854,22,38,21,3,217,familiar,5,nao,divorciado,alto,7,8
855,26,67,27,5,360,individual,6,sim,casado,alto,7,0
856,8,65,27,4,425,familiar,5,nao,casado,baixo,5,0
857,65,7,22,3,222,familiar,7,sim,casado,médio,8,6
858,39,49,36,0,416,familiar,6,nao,solteiro,alto,3,2
859,57,22,33,1,45,familiar,1,nao,divorciado,baixo,6,4
860,80,45,6,3,495,familiar,7,sim,divorciado,alto,2,5
861,53,9,9,6,70,familiar,5,sim,casado,médio,8,8
862,11,17,22,8,304,individual,7,nao,divorciado,médio,2,0
863,6,23,13,3,97,individual,1,sim,solteiro,alto,2,6
864,54,51,35,1,113,familiar,6,sim,casado,baixo,3,0
865,41,25,37,6,158,individual,7,sim,divorciado,médio,7,1
866,38,25,23,6,297,individual,5,nao,divorciado,baixo,1,4
867,71,30,5,2,182,familiar,7,nao,divorciado,médio,2,2
868,13,41,8,2,237,individual,5,sim,solteiro,baixo,5,4
869,73,12,4,0,348,individual,7,nao,solteiro,alto,9,8
870,4,18,19,6,325,familiar,2,sim,solteiro,alto,6,2
871,33,58,25,0,273,familiar,6,nao,solteiro,médio,2,4
872,27,8,13,6,464,individual,6,nao,solteiro,alto,1,8
873,28,63,33,4,99,familiar,7,sim,solteiro,baixo,5,6
874,15,69,25,5,364,familiar,1,sim,casado,alto,2,5
875,41,70,26,1,266,familiar,3,nao,casado,baixo,2,1
876,32,55,11,8,245,individual,7,sim,divorciado,médio,2,4
877,22,38,32,3,149,familiar,4,nao,solteiro,alto,3,3
878,8,30,37,6,323,familiar,6,sim,solteiro,baixo,8,0
879,36,54,7,9,95,familiar,4,nao,divorciado,alto,5,19
880,81,62,12,8,275,individual,3,nao,solteiro,baixo,7,9
881,79,4,20,4,16,familiar,4,nao,solteiro,alto,1,2
882,29,36,36,2,160,individual,1,sim,solteiro,baixo,0,19
883,21,72,37,9,292,familiar,7,sim,casado,alto,10,17
884,67,40,30,2,428,individual,4,sim,solteiro,baixo,5,2
885,81,17,5,2,204,individual,4,sim,casado,baixo,5,8
886,3,68,9,4,329,individual,3,nao,casado,baixo,9,0
887,27,73,0,7,370,familiar,3,nao,divorciado,baixo,6,8
888,37,72,36,1,162,familiar,3,sim,casado,baixo,7,0
889,6,32,28,4,333,familiar,4,sim,divorciado,alto,6,9
890,74,14,18,6,156,familiar,5,sim,solteiro,alto,4,7
891,58,72,28,4,201,individual,2,nao,casado,médio,8,7
892,38,48,9,1,275,familiar,4,nao,casado,baixo,0,15
893,60,4,3,2,234,familiar,7,nao,solteiro,médio,4,1
894,56,29,13,5,326,individual,5,sim,divorciado,médio,10,8
895,68,27,3,6,119,familiar,3,nao,divorciado,alto,1,7
896,25,53,14,8,361,individual,5,nao,casado,baixo,7,18
897,11,10,6,9,37,individual,1,sim,casado,médio,9,9
898,7,44,10,2,82,individual,5,nao,casado,alto,1,3
899,73,50,28,1,410,familiar,3,nao,casado,médio,9,3
900,34,41,25,4,197,familiar,4,sim,casado,baixo,3,6
901,43,17,13,3,266,familiar,6,sim,casado,alto,5,7
902,71,59,18,6,249,familiar,4,sim,solteiro,médio,7,7
903,33,25,15,5,116,familiar,1,nao,divorciado,alto,9,6
904,9,29,5,3,133,individual,1,sim,casado,baixo,8,1
905,1,62,3,7,77,familiar,2,nao,casado,baixo,7,1
906,58,11,22,5,475,familiar,6,nao,solteiro,médio,4,3
907,10,27,30,5,130,familiar,1,sim,solteiro,baixo,4,4
908,41,45,3,9,363,familiar,1,sim,casado,médio,7,8
909,15,6,8,4,451,familiar,1,sim,solteiro,alto,7,1
910,48,65,30,2,49,familiar,5,nao,divorciado,alto,5,5
911,31,28,31,0,483,familiar,4,nao,divorciado,médio,3,6
912,74,35,37,0,215,familiar,3,nao,solteiro,médio,1,0
913,9,24,24,1,387,individual,7,nao,solteiro,alto,8,3
914,53,52,1,3,298,individual,7,sim,divorciado,médio,2,6
915,35,23,32,4,448,familiar,4,sim,solteiro,baixo,3,3
916,29,40,1,9,276,individual,2,nao,solteiro,médio,4,7
917,15,68,2,0,22,familiar,3,sim,divorciado,baixo,1,2
918,71,74,17,8,473,individual,3,nao,divorciado,baixo,8,18
919,55,46,14,2,155,individual,4,nao,solteiro,médio,3,7
920,82,5,35,0,370,familiar,1,sim,divorciado,baixo,2,0
921,83,17,2,1,463,familiar,5,sim,casado,baixo,8,20
922,20,20,26,3,72,individual,3,sim,solteiro,alto,0,3
923,31,8,20,6,281,individual,5,sim,casado,alto,3,6
924,12,74,26,0,467,individual,5,sim,divorciado,médio,3,8
925,80,57,18,3,146,individual,1,nao,divorciado,alto,6,9
926,48,43,5,4,332,individual,3,sim,solteiro,médio,3,13
927,40,73,18,3,127,familiar,7,nao,solteiro,baixo,8,0
928,22,6,32,6,218,individual,6,sim,casado,baixo,10,4
929,33,49,7,5,90,individual,1,sim,casado,médio,4,0
930,3,73,4,8,128,individual,7,sim,casado,alto,2,5
931,29,3,12,0,413,familiar,7,sim,divorciado,alto,5,5
932,57,45,10,8,289,individual,2,nao,solteiro,médio,9,2
933,5,2,34,5,60,individual,4,nao,solteiro,alto,5,7
934,63,42,35,2,155,individual,3,nao,casado,médio,7,5
935,65,44,23,6,7,familiar,1,nao,casado,baixo,3,16
936,30,13,11,3,154,familiar,6,sim,solteiro,médio,9,20
937,62,63,20,5,391,familiar,3,sim,casado,alto,5,8
938,61,18,27,6,182,individual,4,nao,casado,alto,4,5
939,16,59,13,8,499,individual,5,sim,casado,alto,4,11
940,77,34,8,6,442,individual,5,sim,solteiro,baixo,2,5
941,78,64,26,9,1,individual,7,sim,casado,médio,6,2
942,79,44,7,5,265,individual,7,nao,casado,médio,6,3
943,84,31,7,5,75,individual,1,nao,divorciado,médio,6,4
944,75,74,9,2,285,familiar,2,sim,casado,alto,1,4
945,86,4,8,6,41,individual,7,sim,divorciado,baixo,1,9
946,61,29,10,6,62,individual,1,nao,divorciado,baixo,4,7
947,84,6,36,9,484,familiar,4,sim,solteiro,alto,8,8
948,53,4,16,6,466,individual,3,nao,divorciado,alto,0,2
949,46,11,30,1,54,familiar,7,sim,divorciado,médio,3,8
950,75,56,9,6,418,familiar,4,sim,solteiro,baixo,6,11
951,42,25,13,8,98,familiar,5,sim,solteiro,médio,9,6
952,63,42,27,5,444,familiar,2,nao,solteiro,baixo,6,8
953,46,3,13,4,74,individual,1,sim,casado,alto,1,5
954,28,30,33,4,78,familiar,7,sim,solteiro,baixo,5,4
955,29,7,13,5,58,individual,2,nao,solteiro,baixo,9,1
956,13,20,2,7,65,individual,4,nao,casado,médio,10,8
957,46,10,19,7,200,familiar,1,nao,solteiro,alto,9,6
958,18,17,29,2,280,familiar,6,sim,divorciado,baixo,2,9
959,30,14,24,1,355,familiar,7,nao,divorciado,alto,8,6
960,47,42,35,3,459,individual,2,sim,solteiro,alto,5,0
961,4,26,34,2,382,individual,1,sim,casado,baixo,5,5
962,87,34,10,1,90,familiar,5,sim,casado,alto,0,15
963,17,50,14,7,373,individual,7,nao,solteiro,alto,4,8
964,36,52,12,0,277,individual,2,sim,solteiro,baixo,1,6
965,34,25,2,7,424,individual,1,sim,solteiro,baixo,7,6
966,86,5,3,5,150,individual,7,nao,solteiro,médio,3,4
967,7,22,9,4,384,individual,1,nao,divorciado,baixo,3,8
968,42,5,37,0,492,individual,5,nao,divorciado,alto,10,2
969,32,64,11,2,66,familiar,1,sim,casado,médio,6,3
970,19,32,6,2,9,individual,7,sim,solteiro,médio,6,6
971,64,59,12,2,370,familiar,5,nao,divorciado,médio,8,10
972,8,33,28,2,83,individual,5,sim,solteiro,médio,8,8
973,69,74,32,0,408,familiar,7,nao,solteiro,médio,8,2
974,76,69,1,6,443,familiar,3,nao,solteiro,médio,2,12
975,3,48,11,3,133,familiar,7,sim,casado,baixo,3,0
976,37,62,20,5,363,familiar,2,sim,casado,baixo,7,12
977,31,19,29,5,1,familiar,6,sim,casado,baixo,4,9
978,50,45,26,8,57,individual,3,nao,casado,alto,6,3
979,6,50,23,4,203,individual,6,nao,solteiro,baixo,5,8
980,39,25,1,8,223,familiar,3,sim,solteiro,alto,3,6
981,53,34,25,0,441,familiar,5,sim,divorciado,médio,0,20
982,11,45,35,5,103,individual,1,sim,solteiro,médio,8,7
983,16,58,24,9,306,individual,1,sim,casado,alto,10,12
984,19,26,33,3,439,individual,6,sim,solteiro,alto,2,7
985,44,63,24,3,35,individual,5,sim,casado,baixo,9,0
986,51,6,16,7,265,individual,6,nao,solteiro,médio,10,4
987,84,45,15,7,352,individual,4,sim,casado,alto,0,3
988,10,2,22,2,66,familiar,7,sim,divorciado,médio,10,1
989,19,2,19,0,301,familiar,1,sim,casado,alto,2,6
990,72,47,28,5,190,familiar,4,nao,divorciado,alto,4,8
991,47,69,35,7,307,familiar,3,nao,divorciado,baixo,10,9
992,22,11,10,3,249,familiar,7,nao,solteiro,médio,3,4
993,49,35,11,9,400,individual,2,sim,casado,médio,9,5
994,31,59,20,5,266,individual,7,nao,divorciado,baixo,2,8
995,56,24,26,8,168,familiar,2,nao,solteiro,alto,10,5
996,70,40,2,9,52,individual,6,nao,casado,alto,7,8
997,25,28,6,8,1,individual,1,nao,divorciado,alto,8,5
998,65,15,27,0,80,individual,3,sim,divorciado,médio,10,4
999,58,8,2,1,340,individual,3,sim,casado,médio,4,15
1000,68,71,19,5,140,familiar,7,nao,solteiro,baixo,0,2
1001,74,31,16,4,41,individual,2,sim,casado,médio,0,20
1002,16,13,33,3,139,individual,6,nao,casado,baixo,6,5
1003,22,37,9,9,190,familiar,7,nao,solteiro,médio,7,4
1004,77,7,37,3,297,familiar,2,sim,divorciado,alto,7,6
1005,37,38,9,6,404,familiar,6,sim,casado,alto,10,6
1006,82,19,30,1,264,familiar,6,nao,divorciado,baixo,6,6
1007,62,1,3,9,319,familiar,7,nao,divorciado,alto,6,14
1008,59,7,7,6,410,familiar,6,sim,divorciado,médio,10,9
1009,31,67,5,4,178,individual,3,nao,divorciado,médio,2,8
1010,77,47,17,0,97,familiar,7,sim,casado,baixo,5,2
1011,69,54,27,3,217,familiar,5,sim,divorciado,baixo,2,0
1012,27,33,28,1,135,individual,3,sim,divorciado,baixo,0,4
1013,18,50,6,2,341,familiar,3,nao,casado,alto,7,4
1014,2,51,33,9,433,familiar,6,sim,casado,baixo,0,9
1015,7,11,10,9,380,familiar,3,sim,divorciado,alto,5,1
1016,44,56,6,3,465,individual,6,nao,divorciado,médio,3,4
1017,58,23,17,8,45,familiar,3,sim,casado,médio,4,7
1018,16,46,35,1,17,individual,7,sim,solteiro,médio,5,4
1019,51,72,23,3,249,familiar,6,sim,solteiro,médio,10,0
1020,12,70,26,1,446,familiar,2,sim,divorciado,médio,5,15
1021,37,72,6,5,493,individual,1,sim,divorciado,médio,5,1
1022,54,42,20,3,95,familiar,3,nao,divorciado,médio,9,3
1023,69,25,37,6,423,individual,4,sim,casado,alto,3,2
1024,11,21,25,7,190,individual,6,nao,casado,baixo,7,1
1025,23,9,28,1,389,familiar,2,sim,casado,médio,4,4
1026,44,59,26,4,381,familiar,3,nao,casado,alto,6,9
1027,28,35,33,1,6,individual,5,sim,casado,baixo,10,9
1028,72,3,20,2,262,familiar,4,sim,divorciado,alto,9,17
1029,58,28,18,9,428,familiar,3,sim,solteiro,alto,5,8
1030,40,11,25,6,140,individual,5,sim,solteiro,alto,10,3
1031,81,49,20,2,208,familiar,1,nao,divorciado,médio,2,20
1032,23,46,33,8,332,individual,6,sim,solteiro,alto,2,1
1033,87,49,33,1,417,familiar,6,nao,divorciado,baixo,8,8
1034,21,53,24,5,349,individual,6,sim,divorciado,alto,3,3
1035,47,45,16,2,394,individual,1,nao,solteiro,médio,8,1
1036,84,4,26,6,296,individual,6,sim,casado,alto,1,4
1037,44,49,7,2,290,familiar,7,sim,divorciado,alto,0,8
1038,11,12,20,1,381,individual,1,nao,divorciado,alto,3,7
1039,67,34,3,9,178,individual,6,sim,solteiro,alto,2,8
1040,58,33,15,9,342,individual,7,sim,solteiro,baixo,10,8
1041,37,48,13,0,17,individual,3,sim,divorciado,alto,0,11
1042,78,68,35,8,293,individual,6,nao,solteiro,baixo,6,1
1043,83,70,37,4,389,individual,7,sim,casado,médio,4,3
1044,8,24,21,0,100,familiar,1,nao,solteiro,baixo,8,2
1045,84,7,19,8,286,familiar,2,sim,casado,baixo,9,6
1046,43,20,33,0,201,familiar,7,sim,divorciado,alto,0,1
1047,53,65,9,7,308,familiar,4,nao,divorciado,médio,10,9
1048,70,50,28,1,212,familiar,4,sim,solteiro,médio,8,2
1049,44,21,19,3,195,individual,6,sim,divorciado,baixo,1,9
1050,11,28,18,4,266,familiar,5,nao,solteiro,médio,0,0
1051,4,57,20,6,448,familiar,7,sim,divorciado,baixo,6,3
1052,80,11,34,5,255,familiar,5,sim,casado,médio,4,1
1053,83,6,6,5,226,familiar,3,sim,divorciado,médio,10,5
1054,12,74,3,5,115,individual,6,nao,casado,alto,6,3
1055,29,17,6,0,384,familiar,7,sim,solteiro,médio,1,16
1056,32,30,24,2,4,individual,2,nao,divorciado,baixo,5,6
1057,83,50,17,8,316,familiar,7,sim,divorciado,alto,3,3
1058,32,58,12,2,490,familiar,6,nao,divorciado,médio,6,9
1059,60,58,0,7,170,individual,1,sim,casado,alto,3,1
1060,70,74,28,0,69,individual,5,nao,divorciado,alto,9,7
1061,84,19,22,9,1,individual,6,sim,solteiro,alto,1,0
1062,51,37,28,7,107,familiar,7,sim,solteiro,médio,6,3
1063,14,70,2,8,261,individual,6,nao,casado,alto,9,6
1064,70,38,24,7,373,individual,5,nao,casado,médio,10,9
1065,85,29,29,1,324,familiar,6,sim,divorciado,baixo,2,13
1066,38,63,31,9,69,familiar,1,sim,divorciado,médio,2,5
1067,80,40,20,3,62,individual,2,sim,solteiro,alto,9,8
1068,54,5,23,9,405,familiar,4,sim,casado,baixo,8,11
1069,14,35,34,7,8,individual,6,nao,divorciado,médio,6,18
1070,82,61,1,1,308,individual,5,nao,solteiro,baixo,6,17
1071,17,6,12,4,255,individual,2,nao,solteiro,médio,7,2
1072,66,22,4,5,15,familiar,5,nao,solteiro,médio,3,0
1073,32,50,26,4,277,familiar,2,sim,solteiro,baixo,9,3
1074,52,5,1,7,275,individual,1,nao,casado,médio,8,8
1075,1,7,6,9,393,individual,2,sim,solteiro,baixo,10,5
1076,20,5,20,5,387,familiar,2,nao,solteiro,médio,6,6
1077,44,56,21,4,160,familiar,7,sim,casado,alto,6,7
1078,22,41,18,4,131,individual,1,nao,divorciado,médio,4,15
1079,59,45,7,3,482,individual,4,nao,divorciado,baixo,5,10
1080,21,8,28,6,93,familiar,6,nao,solteiro,baixo,10,8
1081,19,45,16,5,151,familiar,4,nao,divorciado,médio,6,9
1082,71,10,16,0,363,familiar,7,nao,divorciado,médio,7,16
1083,39,51,23,1,231,familiar,6,sim,casado,médio,3,7
1084,12,58,29,8,350,individual,2,sim,casado,baixo,9,6
1085,71,19,33,2,237,familiar,1,nao,casado,baixo,9,4
1086,78,17,20,5,163,individual,1,nao,divorciado,alto,3,15
1087,7,62,3,9,33,individual,6,nao,divorciado,baixo,3,2
1088,61,53,1,1,338,individual,4,nao,solteiro,baixo,7,18
1089,49,19,3,1,458,familiar,4,nao,casado,alto,1,8
1090,9,19,22,6,8,individual,2,sim,divorciado,alto,5,8
1091,44,53,29,7,399,familiar,4,nao,divorciado,baixo,1,5
1092,10,69,0,6,27,individual,1,nao,casado,médio,6,3
1093,70,47,2,4,468,individual,4,nao,casado,médio,7,9
1094,46,44,26,2,195,individual,3,sim,solteiro,baixo,4,7
1095,47,59,10,2,46,familiar,6,nao,casado,alto,8,4
1096,43,60,28,3,104,individual,7,nao,solteiro,baixo,9,7
1097,68,36,32,0,412,individual,6,sim,divorciado,alto,3,9
1098,33,74,32,2,70,familiar,4,sim,divorciado,alto,7,2
1099,49,74,14,4,205,individual,5,sim,casado,alto,10,0
1100,74,13,0,4,98,familiar,5,sim,solteiro,alto,3,0
1101,30,41,33,9,343,individual,5,sim,divorciado,baixo,6,5
1102,51,53,2,6,438,individual,4,sim,solteiro,baixo,8,5
1103,85,39,24,2,331,familiar,2,sim,solteiro,alto,10,9
1104,31,9,23,9,343,familiar,4,sim,solteiro,médio,3,6
1105,68,2,34,7,433,individual,3,sim,solteiro,médio,8,4
1106,9,18,28,3,33,individual,6,sim,casado,médio,7,7
1107,24,23,32,0,410,individual,1,sim,casado,baixo,9,6
1108,3,34,24,1,339,individual,1,sim,divorciado,alto,6,7
1109,60,12,7,9,304,individual,3,nao,solteiro,alto,3,8
1110,35,52,27,6,51,familiar,5,sim,solteiro,médio,5,6
1111,24,27,16,8,345,individual,3,nao,divorciado,baixo,2,16
1112,68,60,23,7,19,familiar,6,nao,casado,alto,10,4
1113,76,10,1,3,458,individual,2,sim,casado,médio,0,5
1114,56,54,0,8,77,individual,1,sim,solteiro,médio,5,3
1115,18,45,20,8,61,familiar,1,nao,solteiro,baixo,6,9
1116,14,71,12,5,240,individual,7,nao,solteiro,alto,8,8
1117,32,43,13,2,64,familiar,4,nao,divorciado,alto,10,1
1118,17,14,10,3,270,familiar,4,sim,solteiro,baixo,1,3
1119,10,62,14,7,428,familiar,5,nao,solteiro,alto,10,7
1120,56,12,2,3,184,individual,5,sim,casado,baixo,7,6
1121,19,49,24,0,116,individual,2,sim,divorciado,médio,4,5
1122,15,69,16,2,365,familiar,2,nao,casado,baixo,0,7
1123,66,35,21,6,392,individual,3,sim,casado,baixo,10,5
1124,12,27,20,9,93,individual,2,nao,solteiro,baixo,1,15
1125,78,4,2,0,446,individual,1,nao,divorciado,médio,1,0
1126,65,12,23,6,42,individual,2,nao,casado,alto,7,6
1127,29,57,29,1,341,individual,2,nao,divorciado,alto,6,9
1128,23,61,0,6,482,familiar,7,sim,casado,alto,5,7
1129,13,41,8,1,480,individual,4,nao,divorciado,médio,10,6
1130,46,30,17,1,273,individual,3,sim,divorciado,alto,9,4
1131,18,49,35,5,168,familiar,4,sim,casado,baixo,9,1
1132,52,22,28,0,163,familiar,1,sim,solteiro,médio,0,0
1133,51,11,22,7,243,familiar,1,sim,solteiro,médio,7,8
1134,44,43,7,7,178,individual,4,sim,divorciado,médio,7,5
1135,15,43,4,2,282,familiar,7,sim,casado,alto,8,2
1136,66,13,34,1,39,individual,7,nao,casado,baixo,0,7
1137,54,1,30,2,198,familiar,7,nao,casado,médio,0,5
1138,24,54,33,3,384,individual,1,nao,casado,alto,5,9
1139,34,49,5,2,438,individual,5,nao,solteiro,baixo,0,9
1140,24,60,2,0,185,familiar,1,sim,casado,alto,9,0
1141,11,4,19,8,243,familiar,5,sim,divorciado,médio,8,11
1142,14,73,4,7,183,individual,5,nao,casado,alto,4,4
1143,31,73,10,3,153,familiar,2,sim,divorciado,médio,2,9
1144,47,19,13,7,296,individual,2,nao,casado,alto,8,7
1145,72,71,17,6,474,individual,2,nao,divorciado,médio,6,7
1146,1,71,27,3,217,familiar,6,sim,casado,alto,4,6
1147,28,72,36,5,303,individual,4,sim,divorciado,baixo,8,4
1148,77,56,19,6,62,familiar,5,sim,solteiro,alto,1,7
1149,51,2,24,9,175,individual,7,sim,divorciado,baixo,3,12
1150,22,71,9,4,35,familiar,1,sim,solteiro,médio,2,2
1151,23,47,34,5,10,individual,2,nao,divorciado,baixo,2,9
1152,11,53,20,7,443,individual,5,nao,divorciado,baixo,4,6
1153,41,29,26,2,453,individual,2,sim,casado,alto,0,9
1154,51,67,2,8,287,familiar,3,nao,solteiro,alto,5,0
1155,58,12,37,1,431,familiar,5,sim,solteiro,baixo,8,12
1156,42,12,13,7,256,familiar,1,sim,solteiro,alto,2,9
1157,18,38,24,4,458,familiar,5,nao,casado,médio,7,1
1158,22,14,16,7,314,individual,5,nao,solteiro,médio,6,6
1159,39,14,36,2,232,familiar,6,nao,casado,alto,1,0
1160,68,38,19,6,289,familiar,4,sim,solteiro,baixo,10,9
1161,45,61,12,9,210,familiar,4,nao,solteiro,baixo,5,7
1162,67,53,22,2,189,individual,5,sim,divorciado,baixo,8,6
1163,83,7,27,1,169,individual,1,nao,solteiro,alto,5,9
1164,24,60,13,0,487,individual,2,nao,casado,médio,8,17
1165,87,31,9,6,265,individual,6,sim,divorciado,baixo,10,20
1166,4,43,22,5,215,individual,6,nao,divorciado,alto,3,4
1167,13,6,25,1,69,individual,7,sim,casado,médio,2,5
1168,40,21,22,0,483,individual,7,sim,solteiro,baixo,1,9
1169,15,67,2,8,173,individual,1,nao,casado,alto,10,6
1170,56,60,6,3,61,familiar,4,nao,casado,médio,7,8
1171,1,65,34,1,232,individual,3,nao,casado,alto,8,4
1172,1,71,28,3,486,individual,2,nao,casado,médio,5,18
1173,86,41,27,0,43,individual,2,sim,casado,baixo,0,6
1174,83,29,30,9,73,individual,7,sim,solteiro,alto,9,3
1175,80,62,19,2,373,individual,7,nao,casado,baixo,5,7
1176,22,62,14,4,145,familiar,7,nao,casado,médio,5,1
1177,40,71,36,2,428,individual,7,sim,solteiro,médio,1,4
1178,44,57,17,6,382,individual,7,nao,casado,baixo,10,0
1179,74,24,15,3,67,familiar,7,sim,casado,alto,5,6
1180,80,48,3,3,182,familiar,6,nao,solteiro,médio,6,0
1181,63,24,9,3,236,familiar,7,sim,casado,médio,1,2
1182,50,46,13,9,204,familiar,7,sim,solteiro,médio,8,0
1183,11,57,0,4,411,individual,7,sim,divorciado,baixo,7,3
1184,23,67,9,1,94,familiar,3,sim,solteiro,médio,3,9
1185,72,73,28,6,457,individual,5,nao,casado,médio,5,8
1186,34,9,20,5,198,individual,2,sim,divorciado,médio,2,13
1187,6,12,27,7,138,familiar,6,nao,solteiro,baixo,6,9
1188,42,14,16,0,293,individual,7,sim,divorciado,baixo,10,2
1189,32,9,32,3,105,familiar,6,nao,casado,baixo,4,0
1190,17,6,34,1,443,individual,3,sim,solteiro,alto,10,3
1191,7,33,7,1,319,individual,6,nao,divorciado,médio,1,7
1192,46,23,18,8,473,individual,7,nao,solteiro,baixo,6,2
1193,38,21,5,5,45,familiar,1,nao,divorciado,médio,2,4
1194,22,58,11,6,474,familiar,3,sim,casado,alto,0,7
1195,46,6,11,2,458,individual,1,nao,divorciado,baixo,10,5
1196,46,49,20,5,469,individual,1,nao,solteiro,médio,9,3
1197,39,74,2,5,152,individual,7,sim,casado,alto,10,0
1198,42,54,5,7,403,familiar,6,sim,divorciado,médio,2,2
1199,21,2,6,0,347,familiar,2,sim,divorciado,baixo,2,1
1200,40,6,5,3,207,familiar,2,nao,divorciado,médio,10,9
1201,8,68,5,1,131,individual,7,nao,casado,alto,6,0
1202,42,59,19,4,436,familiar,4,sim,casado,alto,8,0
1203,70,32,2,2,373,familiar,5,nao,divorciado,baixo,4,4
1204,64,43,0,7,206,individual,4,sim,solteiro,médio,2,6
1205,4,42,35,1,288,familiar,4,nao,solteiro,alto,3,5
1206,58,21,2,9,125,individual,4,sim,solteiro,médio,8,3
1207,36,55,6,3,198,individual,1,sim,divorciado,baixo,10,0
1208,1,23,4,8,351,familiar,7,sim,divorciado,médio,6,7
1209,10,44,24,0,97,familiar,5,sim,casado,baixo,8,0
1210,30,48,6,5,336,familiar,2,nao,solteiro,baixo,10,5
1211,64,20,15,8,186,familiar,4,nao,divorciado,baixo,4,6
1212,87,8,24,2,418,familiar,7,sim,casado,alto,3,2
1213,14,17,31,2,491,familiar,5,sim,casado,médio,4,6
1214,45,21,12,4,371,individual,7,nao,divorciado,baixo,8,6
1215,15,60,3,3,371,individual,3,sim,divorciado,médio,5,20
1216,36,41,27,8,2,individual,6,sim,solteiro,médio,10,5
1217,42,47,32,6,31,familiar,3,sim,divorciado,baixo,1,0
1218,41,9,29,5,251,individual,3,nao,solteiro,baixo,6,9
1219,86,64,13,8,350,familiar,5,sim,casado,alto,4,0
1220,71,24,1,6,151,familiar,6,sim,casado,alto,8,3
1221,31,15,17,2,355,familiar,2,sim,divorciado,médio,8,4
1222,74,69,17,7,478,familiar,3,nao,casado,médio,6,1
1223,70,43,7,5,49,familiar,5,sim,divorciado,alto,10,9
1224,18,16,8,0,99,individual,6,nao,casado,baixo,7,8
1225,6,7,25,3,178,individual,4,nao,casado,médio,7,18
1226,39,46,0,6,122,individual,2,nao,divorciado,médio,1,7
1227,50,2,5,1,96,individual,4,nao,solteiro,médio,4,4
1228,30,41,31,8,60,individual,7,nao,divorciado,alto,6,6
1229,5,62,17,8,28,individual,7,sim,divorciado,médio,2,2
1230,22,42,32,7,281,familiar,5,sim,solteiro,médio,6,19
1231,38,73,21,8,203,familiar,6,nao,divorciado,alto,1,6
1232,4,26,36,7,15,individual,7,sim,casado,alto,6,6
1233,73,30,28,8,408,individual,3,nao,casado,alto,5,6
1234,23,32,21,1,360,individual,2,sim,divorciado,médio,9,2
1235,52,60,7,3,456,individual,1,sim,solteiro,baixo,4,3
1236,54,56,26,2,402,familiar,7,nao,casado,médio,10,7
1237,81,26,18,8,183,familiar,5,nao,solteiro,médio,6,7
1238,19,35,34,2,281,individual,4,nao,casado,médio,6,3
1239,26,14,22,6,191,individual,4,sim,solteiro,alto,0,4
1240,25,38,23,8,32,familiar,4,nao,divorciado,médio,3,0
1241,21,66,22,7,122,individual,4,sim,solteiro,baixo,7,10
1242,9,18,33,6,2,individual,6,sim,divorciado,baixo,4,4
1243,66,33,1,3,303,familiar,7,sim,solteiro,alto,2,7
1244,54,32,33,1,393,individual,4,nao,solteiro,alto,4,4
1245,38,65,12,8,273,familiar,4,nao,solteiro,alto,1,7
1246,15,32,25,7,304,individual,3,sim,divorciado,médio,3,6
1247,19,16,19,8,289,individual,1,sim,divorciado,baixo,0,8
1248,43,57,10,0,346,familiar,1,nao,solteiro,baixo,5,1
1249,27,72,23,8,202,individual,6,sim,casado,alto,4,1
1250,46,73,22,3,486,familiar,1,nao,divorciado,médio,1,7
1251,40,35,28,1,121,familiar,7,sim,solteiro,alto,9,6
1252,53,39,13,9,452,individual,7,nao,solteiro,alto,3,2
1253,33,31,26,5,459,individual,6,nao,divorciado,alto,9,2
1254,64,21,27,6,74,familiar,5,nao,casado,alto,0,9
1255,64,10,27,7,171,familiar,6,nao,casado,baixo,1,7
1256,32,9,16,0,438,familiar,3,nao,solteiro,médio,5,2
1257,5,16,25,3,177,familiar,1,nao,casado,baixo,0,5
1258,42,56,35,4,270,familiar,6,nao,divorciado,médio,5,9
1259,33,50,19,8,366,familiar,5,sim,solteiro,alto,7,0
1260,18,29,21,0,425,familiar,4,nao,casado,baixo,9,0
1261,81,13,34,6,220,familiar,3,sim,solteiro,alto,0,0
1262,33,10,21,3,209,individual,2,sim,solteiro,baixo,10,9
1263,46,52,13,7,19,individual,2,sim,casado,baixo,3,12
1264,60,46,8,7,223,familiar,5,nao,casado,médio,0,1
1265,26,25,6,1,434,familiar,4,sim,casado,médio,0,4
1266,24,33,19,6,129,individual,7,nao,divorciado,baixo,4,0
1267,78,4,19,6,402,familiar,6,nao,divorciado,baixo,1,3
1268,20,52,12,8,46,familiar,1,sim,divorciado,médio,8,19
1269,63,29,11,1,286,familiar,3,sim,casado,baixo,2,3
1270,33,28,6,4,311,individual,3,sim,divorciado,médio,5,1
1271,85,55,24,0,56,individual,6,sim,solteiro,médio,9,2
